Census Year,CountyFIPSCode,Economic Development Region,Workforce Development Area,County Name,County Code,Age Range,Gender,Total Population,No High School Diploma,High School Diploma Or Equivalent,Some College No Degree,Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,BachelorDegreeAndMore,Total Post-Secondary Degrees,latitude,longitude
01/01/2013 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,25 to 34 Years,Male,17166,1371,5982,3296,1456,3769,1292,5061,6517,41.9941379,-80.0407591
01/01/2015 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,35 to 44 Years,Male,15972,1375,6447,2581,1536,2749,1284,4033,5569,41.9941379,-80.0407591
01/01/2010 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,35 to 44 Years,Male,17606,1498,7548,3129,1245,3000,1186,4186,5431,41.9941379,-80.0407591
01/01/2013 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,35 to 44 Years,Male,16625,1844,6661,2865,1321,2748,1186,3934,5255,41.9941379,-80.0407591
01/01/2014 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,35 to 44 Years,Male,16300,1554,6766,2758,1443,2596,1183,3779,5222,41.9941379,-80.0407591
01/01/2012 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,35 to 44 Years,Male,16895,1680,6795,3151,1183,2911,1175,4086,5269,41.9941379,-80.0407591
01/01/2011 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,35 to 44 Years,Male,17281,1544,7282,3198,1258,2831,1168,3999,5257,41.9941379,-80.0407591
01/01/2014 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,25 to 34 Years,Male,17545,1357,6348,3288,1426,3968,1158,5126,6552,41.9941379,-80.0407591
01/01/2012 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,25 to 34 Years,Male,16748,1285,6363,3485,1203,3304,1108,4412,5615,41.9941379,-80.0407591
01/01/2016 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,25 to 34 Years,Male,18408,1440,6518,3125,1551,4674,1100,5774,7325,41.9941379,-80.0407591
01/01/2015 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,25 to 34 Years,Male,17994,1396,6277,3287,1624,4329,1081,5410,7034,41.9941379,-80.0407591
01/01/2010 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,25 to 34 Years,Male,16410,1495,7043,2705,1126,2975,1066,4041,5167,41.9941379,-80.0407591
01/01/2011 12:00:00 AM,42049,Northwest,Northwest WDA,Erie,25,25 to 34 Years,Male,16506,1339,6840,2997,1174,3115,1041,4156,5330,41.9941379,-80.0407591
01/01/2011 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,45 to 64 Years,Male,6950,682,3262,1206,549,710,541,1251,1800,41.8205686,-75.802503
