Census Year,CountyFIPSCode,Economic Development Region,Workforce Development Area,County Name,County Code,Age Range,Gender,Total Population,No High School Diploma,High School Diploma Or Equivalent,Some College No Degree,Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,BachelorDegreeAndMore,Total Post-Secondary Degrees,latitude,longitude
01/01/2010 12:00:00 AM,42121,Northwest,Northwest WDA,Venango,61,25 to 34 Years,Female,2845,305,1014,587,453,383,103,486,939,41.4034126,-79.7628656
01/01/2015 12:00:00 AM,42121,Northwest,Northwest WDA,Venango,61,25 to 34 Years,Male,2685,286,1200,429,397,289,84,373,770,41.4034126,-79.7628656
01/01/2016 12:00:00 AM,42121,Northwest,Northwest WDA,Venango,61,25 to 34 Years,Male,2683,273,1250,430,371,285,74,359,730,41.4034126,-79.7628656
01/01/2014 12:00:00 AM,42121,Northwest,Northwest WDA,Venango,61,25 to 34 Years,Male,2722,269,1133,505,429,333,53,386,815,41.4034126,-79.7628656
01/01/2012 12:00:00 AM,42121,Northwest,Northwest WDA,Venango,61,25 to 34 Years,Male,2758,302,1122,517,452,320,45,365,817,41.4034126,-79.7628656
01/01/2013 12:00:00 AM,42121,Northwest,Northwest WDA,Venango,61,25 to 34 Years,Male,2748,308,1164,498,441,297,40,337,778,41.4034126,-79.7628656
01/01/2011 12:00:00 AM,42121,Northwest,Northwest WDA,Venango,61,25 to 34 Years,Male,2781,257,1101,587,501,300,35,335,836,41.4034126,-79.7628656
01/01/2010 12:00:00 AM,42121,Northwest,Northwest WDA,Venango,61,25 to 34 Years,Male,2794,231,1209,498,489,347,20,367,856,41.4034126,-79.7628656
01/01/2015 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Female,16746,1368,7345,2868,1953,1857,1355,3212,5165,41.3445979,-77.0694246
01/01/2014 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Male,16306,1788,6754,2871,1639,1910,1344,3254,4893,41.3445979,-77.0694246
01/01/2014 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Female,16869,1354,7416,2814,2054,1891,1340,3231,5285,41.3445979,-77.0694246
01/01/2012 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Female,16866,1501,7437,2700,1976,1917,1335,3252,5228,41.3445979,-77.0694246
01/01/2015 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Male,16149,1739,6703,2738,1763,1875,1331,3206,4969,41.3445979,-77.0694246
01/01/2012 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Male,16425,1722,6917,2838,1651,1984,1313,3297,4948,41.3445979,-77.0694246
01/01/2013 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Female,16899,1471,7465,2845,2006,1813,1299,3112,5118,41.3445979,-77.0694246
01/01/2011 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Male,16294,1681,6795,2721,1789,2037,1271,3308,5097,41.3445979,-77.0694246
01/01/2016 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Female,16583,1211,7199,2997,2041,1872,1263,3135,5176,41.3445979,-77.0694246
01/01/2013 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Male,16444,1767,6972,2769,1634,2041,1261,3302,4936,41.3445979,-77.0694246
01/01/2010 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Female,16660,1768,7281,2642,1851,1897,1221,3118,4969,41.3445979,-77.0694246
01/01/2016 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Male,15895,1696,6507,2959,1744,1770,1219,2989,4733,41.3445979,-77.0694246
01/01/2011 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Female,16827,1782,7323,2699,1944,1873,1206,3079,5023,41.3445979,-77.0694246
01/01/2010 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,45 to 64 Years,Male,16034,1756,6547,2796,1847,2016,1072,3088,4935,41.3445979,-77.0694246
01/01/2015 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Female,6812,388,2095,1183,1226,1196,724,1920,3146,41.3445979,-77.0694246
01/01/2016 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Female,6661,407,2018,1176,1195,1153,712,1865,3060,41.3445979,-77.0694246
01/01/2015 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Female,7246,727,1972,1384,894,1599,670,2269,3163,41.3445979,-77.0694246
01/01/2016 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Female,7272,665,1916,1541,874,1624,652,2276,3150,41.3445979,-77.0694246
01/01/2011 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Female,7471,716,2727,1207,1051,1131,639,1770,2821,41.3445979,-77.0694246
01/01/2013 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Female,7091,500,2421,1169,1194,1189,618,1807,3001,41.3445979,-77.0694246
01/01/2014 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Female,6888,526,2281,1174,1174,1129,604,1733,2907,41.3445979,-77.0694246
01/01/2012 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Female,7348,592,2583,1314,1182,1077,600,1677,2859,41.3445979,-77.0694246
01/01/2014 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Female,7071,681,2114,1377,892,1420,587,2007,2899,41.3445979,-77.0694246
01/01/2010 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Female,7634,829,2910,1187,1097,1032,579,1611,2708,41.3445979,-77.0694246
01/01/2013 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Female,6884,659,2138,1373,822,1362,530,1892,2714,41.3445979,-77.0694246
01/01/2012 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Female,6627,641,1991,1389,880,1272,454,1726,2606,41.3445979,-77.0694246
01/01/2015 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Male,6480,634,2651,1016,786,952,441,1393,2179,41.3445979,-77.0694246
01/01/2010 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Female,6417,520,1972,1354,776,1356,439,1795,2571,41.3445979,-77.0694246
01/01/2016 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Male,6420,525,2668,1087,771,940,429,1369,2140,41.3445979,-77.0694246
01/01/2014 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Male,6502,534,2843,1064,858,777,426,1203,2061,41.3445979,-77.0694246
01/01/2010 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Male,7147,864,2706,1272,924,962,419,1381,2305,41.3445979,-77.0694246
01/01/2011 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Male,6944,851,2696,1239,885,890,383,1273,2158,41.3445979,-77.0694246
01/01/2011 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Female,6546,709,1992,1269,823,1371,382,1753,2576,41.3445979,-77.0694246
01/01/2013 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Male,6593,511,2924,1182,843,755,378,1133,1976,41.3445979,-77.0694246
01/01/2012 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,35 to 44 Years,Male,6723,642,2866,1232,851,770,362,1132,1983,41.3445979,-77.0694246
01/01/2016 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Male,7361,800,2471,1454,691,1633,312,1945,2636,41.3445979,-77.0694246
01/01/2015 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Male,7098,869,2637,1244,627,1484,237,1721,2348,41.3445979,-77.0694246
01/01/2010 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Male,6358,620,2177,1409,746,1189,217,1406,2152,41.3445979,-77.0694246
01/01/2014 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Male,6919,811,2580,1267,713,1339,209,1548,2261,41.3445979,-77.0694246
01/01/2012 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Male,6382,597,2471,1303,723,1088,200,1288,2011,41.3445979,-77.0694246
01/01/2011 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Male,6260,593,2408,1295,691,1077,196,1273,1964,41.3445979,-77.0694246
01/01/2013 12:00:00 AM,42081,Northeast,Central WDA,Lycoming,41,25 to 34 Years,Male,6643,652,2653,1309,710,1167,152,1319,2029,41.3445979,-77.0694246
01/01/2016 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Female,9004,738,2996,1997,919,1352,1002,2354,3273,41.332572,-75.0327092
01/01/2013 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Female,9201,497,3254,2430,778,1260,982,2242,3020,41.332572,-75.0327092
01/01/2014 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Female,9148,513,3200,2397,869,1198,971,2169,3038,41.332572,-75.0327092
01/01/2015 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Female,9102,598,3149,2278,867,1307,903,2210,3077,41.332572,-75.0327092
01/01/2010 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Female,8729,368,3308,2003,768,1390,892,2282,3050,41.332572,-75.0327092
01/01/2011 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Female,8844,329,3358,2287,769,1219,882,2101,2870,41.332572,-75.0327092
01/01/2011 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Male,8762,676,3269,1963,674,1332,848,2180,2854,41.332572,-75.0327092
01/01/2012 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Female,9122,375,3153,2639,837,1274,844,2118,2955,41.332572,-75.0327092
01/01/2012 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Male,8945,664,3340,2237,591,1290,823,2113,2704,41.332572,-75.0327092
01/01/2010 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Male,8528,682,3342,1836,588,1269,811,2080,2668,41.332572,-75.0327092
01/01/2016 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Male,8885,838,3357,2024,622,1242,802,2044,2666,41.332572,-75.0327092
01/01/2015 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Male,8920,827,3410,2131,559,1195,798,1993,2552,41.332572,-75.0327092
01/01/2013 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Male,9045,631,3634,2228,489,1275,788,2063,2552,41.332572,-75.0327092
01/01/2014 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,45 to 64 Years,Male,8941,817,3592,2132,508,1168,724,1892,2400,41.332572,-75.0327092
01/01/2016 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Female,3301,130,931,750,395,707,388,1095,1490,41.332572,-75.0327092
01/01/2015 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Female,3479,106,1018,795,446,743,371,1114,1560,41.332572,-75.0327092
01/01/2011 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Female,4123,88,1294,972,576,861,332,1193,1769,41.332572,-75.0327092
01/01/2012 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Female,3925,57,1200,1028,559,749,332,1081,1640,41.332572,-75.0327092
01/01/2014 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Female,3599,112,1019,935,460,741,332,1073,1533,41.332572,-75.0327092
01/01/2010 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Female,4231,133,1563,902,532,812,289,1101,1633,41.332572,-75.0327092
01/01/2013 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Female,3693,67,1039,1077,600,632,278,910,1510,41.332572,-75.0327092
01/01/2016 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Female,2394,130,431,670,171,793,199,992,1163,41.332572,-75.0327092
01/01/2015 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Female,2261,98,447,631,195,698,192,890,1085,41.332572,-75.0327092
01/01/2014 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Female,2300,112,583,597,212,604,192,796,1008,41.332572,-75.0327092
01/01/2011 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Female,2620,156,723,717,340,508,176,684,1024,41.332572,-75.0327092
01/01/2013 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Female,2422,101,687,706,287,465,176,641,928,41.332572,-75.0327092
01/01/2012 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Female,2499,169,618,748,260,554,150,704,964,41.332572,-75.0327092
01/01/2016 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Male,3112,265,1232,667,315,498,135,633,948,41.332572,-75.0327092
01/01/2010 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Female,2641,138,790,731,319,529,134,663,982,41.332572,-75.0327092
01/01/2011 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Male,2434,219,972,478,271,363,131,494,765,41.332572,-75.0327092
01/01/2011 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Male,3905,251,1716,999,292,524,123,647,939,41.332572,-75.0327092
01/01/2014 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Male,2348,258,865,556,234,312,123,435,669,41.332572,-75.0327092
01/01/2015 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Male,3239,223,1333,736,289,538,120,658,947,41.332572,-75.0327092
01/01/2010 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Male,4115,315,1892,943,263,585,117,702,965,41.332572,-75.0327092
01/01/2012 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Male,2397,320,907,465,298,296,111,407,705,41.332572,-75.0327092
01/01/2013 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Male,2446,301,932,488,269,347,109,456,725,41.332572,-75.0327092
01/01/2012 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Male,3624,224,1690,810,360,444,96,540,900,41.332572,-75.0327092
01/01/2010 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Male,2407,292,911,497,260,356,91,447,707,41.332572,-75.0327092
01/01/2013 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Male,3349,311,1482,695,371,404,86,490,861,41.332572,-75.0327092
01/01/2015 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Male,2291,181,801,677,190,357,85,442,632,41.332572,-75.0327092
01/01/2014 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,35 to 44 Years,Male,3362,286,1470,705,344,474,83,557,901,41.332572,-75.0327092
01/01/2016 12:00:00 AM,42103,Northeast,Pocono Counties WDA,Pike,52,25 to 34 Years,Male,2408,166,747,859,144,413,79,492,636,41.332572,-75.0327092
01/01/2016 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Female,16657,1186,7673,2595,1705,2153,1345,3498,5203,41.3023778,-80.2600941
01/01/2015 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Female,16670,1223,7801,2548,1702,2150,1246,3396,5098,41.3023778,-80.2600941
01/01/2011 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Male,16444,1653,7424,2985,1121,2103,1158,3261,4382,41.3023778,-80.2600941
01/01/2013 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Female,16776,1127,7648,2898,1648,2331,1124,3455,5103,41.3023778,-80.2600941
01/01/2014 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Female,16768,1292,7650,2620,1861,2221,1124,3345,5206,41.3023778,-80.2600941
01/01/2015 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Male,16531,1477,7663,2681,1374,2226,1110,3336,4710,41.3023778,-80.2600941
01/01/2012 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Male,16536,1609,7477,3019,1238,2094,1099,3193,4431,41.3023778,-80.2600941
01/01/2010 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Male,16347,1511,7625,2946,1013,2175,1077,3252,4265,41.3023778,-80.2600941
01/01/2014 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Male,16665,1459,7617,2800,1461,2260,1068,3328,4789,41.3023778,-80.2600941
01/01/2010 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Female,16573,1124,7496,3074,1422,2390,1067,3457,4879,41.3023778,-80.2600941
01/01/2013 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Male,16546,1529,7409,2939,1423,2208,1038,3246,4669,41.3023778,-80.2600941
01/01/2011 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Female,16687,1103,7468,3048,1663,2371,1034,3405,5068,41.3023778,-80.2600941
01/01/2016 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Male,16400,1416,7728,2610,1313,2320,1013,3333,4646,41.3023778,-80.2600941
01/01/2012 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,45 to 64 Years,Female,16760,1125,7635,3043,1637,2320,1000,3320,4957,41.3023778,-80.2600941
01/01/2016 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Female,5629,478,1579,1193,566,1144,669,1813,2379,41.3023778,-80.2600941
01/01/2016 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Female,6238,436,1763,1137,1031,1204,667,1871,2902,41.3023778,-80.2600941
01/01/2015 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Female,6467,480,2014,1119,922,1286,646,1932,2854,41.3023778,-80.2600941
01/01/2014 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Female,6606,475,2070,1253,948,1258,602,1860,2808,41.3023778,-80.2600941
01/01/2015 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Female,5690,470,1640,1215,498,1277,590,1867,2365,41.3023778,-80.2600941
01/01/2014 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Female,5632,467,1673,1357,541,1019,575,1594,2135,41.3023778,-80.2600941
01/01/2013 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Female,6733,469,2505,1148,772,1296,543,1839,2611,41.3023778,-80.2600941
01/01/2013 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Female,5635,339,1745,1384,544,1091,532,1623,2167,41.3023778,-80.2600941
01/01/2010 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Female,7241,542,2870,1435,777,1113,504,1617,2394,41.3023778,-80.2600941
01/01/2015 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Male,6490,625,2492,1026,617,1231,499,1730,2347,41.3023778,-80.2600941
01/01/2011 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Male,7343,789,3094,1086,553,1341,480,1821,2374,41.3023778,-80.2600941
01/01/2011 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Female,7134,562,2768,1422,702,1200,480,1680,2382,41.3023778,-80.2600941
01/01/2012 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Male,7078,749,2686,1151,607,1413,472,1885,2492,41.3023778,-80.2600941
01/01/2014 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Male,6605,687,2433,1143,565,1306,471,1777,2342,41.3023778,-80.2600941
01/01/2016 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Male,6254,638,2358,1041,649,1103,465,1568,2217,41.3023778,-80.2600941
01/01/2012 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Female,6906,460,2543,1448,671,1326,458,1784,2455,41.3023778,-80.2600941
01/01/2012 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Female,5612,400,1856,1323,504,1076,453,1529,2033,41.3023778,-80.2600941
01/01/2013 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Male,6881,673,2725,1092,619,1325,447,1772,2391,41.3023778,-80.2600941
01/01/2011 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Female,5609,372,1953,1264,507,1072,441,1513,2020,41.3023778,-80.2600941
01/01/2010 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,35 to 44 Years,Male,7488,960,3199,1152,498,1269,410,1679,2177,41.3023778,-80.2600941
01/01/2010 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Female,5664,434,1977,1242,560,1046,405,1451,2011,41.3023778,-80.2600941
01/01/2016 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Male,5997,728,2437,949,536,1004,343,1347,1883,41.3023778,-80.2600941
01/01/2014 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Male,5880,685,2241,1005,545,1084,320,1404,1949,41.3023778,-80.2600941
01/01/2013 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Male,5844,648,2280,976,535,1100,305,1405,1940,41.3023778,-80.2600941
01/01/2011 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Male,5661,562,2268,869,592,1065,305,1370,1962,41.3023778,-80.2600941
01/01/2015 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Male,5943,715,2419,896,487,1128,298,1426,1913,41.3023778,-80.2600941
01/01/2012 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Male,5713,615,2218,871,540,1189,280,1469,2009,41.3023778,-80.2600941
01/01/2010 12:00:00 AM,42085,Northwest,West Central WDA,Mercer,43,25 to 34 Years,Male,5735,523,2256,1006,616,1059,275,1334,1950,41.3023778,-80.2600941
01/01/2016 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Female,5013,423,2390,729,542,445,484,929,1471,41.2328627,-77.6428376
01/01/2015 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Female,5116,455,2472,799,488,493,409,902,1390,41.2328627,-77.6428376
01/01/2014 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Female,5140,484,2474,746,506,522,408,930,1436,41.2328627,-77.6428376
01/01/2013 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Male,4989,566,2309,809,470,465,370,835,1305,41.2328627,-77.6428376
01/01/2013 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Female,5184,524,2588,710,475,526,361,887,1362,41.2328627,-77.6428376
01/01/2010 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Female,5085,513,2581,601,432,598,360,958,1390,41.2328627,-77.6428376
01/01/2012 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Female,5203,486,2659,685,484,541,348,889,1373,41.2328627,-77.6428376
01/01/2011 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Female,5172,566,2600,637,461,564,344,908,1369,41.2328627,-77.6428376
01/01/2012 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Male,5058,581,2417,819,441,465,335,800,1241,41.2328627,-77.6428376
01/01/2010 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Male,5025,485,2452,703,514,541,330,871,1385,41.2328627,-77.6428376
01/01/2014 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Male,4992,552,2331,826,474,507,302,809,1283,41.2328627,-77.6428376
01/01/2011 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Male,5049,493,2522,814,488,431,301,732,1220,41.2328627,-77.6428376
01/01/2016 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Male,4910,536,2360,713,511,534,256,790,1301,41.2328627,-77.6428376
01/01/2015 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,45 to 64 Years,Male,4948,550,2390,775,483,495,255,750,1233,41.2328627,-77.6428376
01/01/2011 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,25 to 34 Years,Male,2042,315,921,240,126,262,178,440,566,41.2328627,-77.6428376
01/01/2013 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,35 to 44 Years,Female,2232,236,711,512,285,312,176,488,773,41.2328627,-77.6428376
01/01/2014 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,35 to 44 Years,Female,2187,205,672,448,381,308,173,481,862,41.2328627,-77.6428376
01/01/2015 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,35 to 44 Years,Female,2165,235,597,437,447,285,164,449,896,41.2328627,-77.6428376
01/01/2016 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,25 to 34 Years,Male,2175,281,979,350,131,291,143,434,565,41.2328627,-77.6428376
01/01/2016 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,35 to 44 Years,Female,2106,255,661,357,378,314,141,455,833,41.2328627,-77.6428376
01/01/2010 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,25 to 34 Years,Male,2085,354,866,291,164,271,139,410,574,41.2328627,-77.6428376
01/01/2012 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,35 to 44 Years,Female,2264,291,698,552,264,321,138,459,723,41.2328627,-77.6428376
01/01/2011 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,35 to 44 Years,Female,2290,231,814,503,284,324,134,458,742,41.2328627,-77.6428376
01/01/2014 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,25 to 34 Years,Female,1930,145,654,404,220,374,133,507,727,41.2328627,-77.6428376
01/01/2010 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,35 to 44 Years,Female,2310,195,920,484,282,298,131,429,711,41.2328627,-77.6428376
01/01/2012 12:00:00 AM,42035,Northeast,Central WDA,Clinton,18,25 to 34 Years,Male,2043,258,900,311,115,332,127,459,574,41.2328627,-77.6428376
